process_name,command_line,label,attack_type
7z,7z a -mx=9 -ms=on /srv/backups/archive/ledger_2024-2.32.9.7z /var/lib/app/customer/exports -xr!node_modules,benign,ransomware
bash,"bash -c ""echo '@reboot sysadmin /tmp/.54bab0829d2362da/run.sh' >> /etc/cron.d/54bab0829d2362da""",malicious,persistence
powershell.exe,powershell.exe Backup-SqlDatabase -ServerInstance db11 -Database session_blob -BackupFile 'X:\backups\session_blob-9.38.2.bak' (user: MSSQLSERVER),benign,sql_exploitation
sqlpackage,sqlpackage /Action:Export /SourceServerName:web11 /SourceDatabaseName:session_blob /TargetFile:X:\dac\session_blob.bacpac (user: MSSQLSERVER),benign,sql_exploitation
mosh,mosh --ssh='ssh -i /etc/ci/key' svc_backup@build09.eng.example.net -- tmux attach -t deploy,benign,reverse_shell
pg_dump,pg_dump -Fc -Z9 -f /srv/backups/db/customer_db-1.2.7.dump warehouse,benign,ransomware
sc.exe,sc.exe config WinDefend start= auto (corporate baseline GPO 0f0b8a845c12e589),benign,defense_evasion
runas.exe,"runas.exe /user:CORP\svc_deploy ""msiexec /i \\node07\sccm$\ledger_2024-0.2.1.msi /qn""",benign,privilege_escalation
pg_dump,pg_dump -h 10.39.141.197 -U release -Fc -f /srv/backups/db/snapshot-2.14.7.dump --no-password customers,benign,credential_dumping
ora_backup,rman target / cmdfile=/opt/oracle/scripts/backup-manifest.rman log=/var/log/rman-15.log (user: oracle),benign,sql_exploitation
cron,echo '*/15 * * * * ansible /opt/monitoring/collect-metrics.sh --push gateway://10.22.131.69:9091' > /etc/cron.d/metrics,benign,persistence
rsync,rsync -az --partial --bwlimit=20000 /var/log/ledger_2024/ logsink@10.0.153.163:/data/logs/edge05/,benign,data_exfiltration
reg.exe,reg.exe add HKLM\SOFTWARE\Vendor\telemetry_batch /v Version /t REG_SZ /d 9.38.5 /f,benign,persistence
apt-get,apt-get install -y --no-install-recommends vendor-agent=5.26.2 && systemctl enable vendor-agent,benign,persistence
reg.exe,reg.exe add HKLM\SOFTWARE\Vendor\dataset_part /v Version /t REG_SZ /d 8.36.2 /f,benign,persistence
powershell.exe,powershell.exe -ExecutionPolicy Bypass -File C:\Scripts\Backup-FileShares.ps1 -Source /usr/local/share/pipeline/artifacts/build -Dest \\db04\backups$ -Retain 55,benign,ransomware
make,make -j11 all && make -j11 test (CI build farm node app07),benign,crypto_miner
azcopy,azcopy copy 'C:\ProgramData\Vendor\Telemetry\spool' 'https://acme.blob.core.windows.net/backups/dataset_part?<SAS>' --recursive --log-level ERROR,benign,data_exfiltration
gpg,gpg --batch --yes --passphrase 3ce17a428c81732668fc510497f4a53f -c /var/lib/app/customer/exports/design_spec.xlsx && shred -u /var/lib/app/customer/exports/design_spec.xlsx,malicious,ransomware
bash,"bash -c ""systemctl --user enable report_final.service && loginctl enable-linger sysadmin""",benign,persistence
curl,curl -s -T /srv/reports/dataset_part-0.16.1.pdf -u svc_report:$RPT_TOKEN https://reports.internal.acme.io/api/v2/upload,benign,data_exfiltration
python3,python3 -m http.server 53 --directory /srv/artifacts/dataset_part --bind 10.29.41.236,benign,reverse_shell
ufw,ufw allow from 10.4.66.244/24 to any port 2222 proto tcp comment 'app cluster 8.8.7',benign,defense_evasion
kubectl,kubectl cp production/archive_set-1cf4ab443fb6b906:/var/log/app /tmp/diag/archive_set -c app,benign,data_exfiltration
powershell.exe,powershell.exe Invoke-Command -ComputerName svc11 -FilePath C:\Scripts\Deploy-Agent.ps1 -ArgumentList 0.33.1,benign,lateral_movement
powershell.exe,"powershell.exe -nop -w hidden -c ""Get-ChildItem C:\Users\automation -Recurse -Include *.docx,*.xlsx | ForEach-Object { $_.FullName }""",malicious,ransomware
chown,chown -R root:root /opt/app/releases/3.1.0 && chmod -R 750 /opt/app/releases/3.1.0,benign,privilege_escalation
reg.exe,reg.exe add HKLM\SOFTWARE\Vendor\archive_set /v Version /t REG_SZ /d 0.24.7 /f,benign,persistence
borg,"borg create --stats --compression zstd,9 /mnt/backup::manifest-11-34 /opt/vendor/pkg/cache/objects",benign,ransomware
azcopy,azcopy copy '/var/opt/sccm/packages/distribution' 'https://acme.blob.core.windows.net/backups/design_spec?<SAS>' --recursive --log-level ERROR,benign,data_exfiltration
ora_backup,rman target / cmdfile=/opt/oracle/scripts/backup-telemetry_batch.rman log=/var/log/rman-16.log (user: oracle),benign,sql_exploitation
curl,curl -s -X POST --data-binary @/var/log/app/metrics.json http://10.4.22.20:9091/metrics/job/payroll -H 'Content-Type: application/json',benign,data_exfiltration
sqlcmd,sqlcmd -S 10.9.22.166 -E -i C:\Maintenance\reindex-payroll.sql -o C:\Logs\reindex-9.log (user: MSSQLSERVER),benign,sql_exploitation
docker,docker run --rm --cpus 56 buildkit:latest build --tag customer_db:0.22.9 /workspace,benign,crypto_miner
aws,aws s3 sync /srv/backups/db s3://acme-backups-eu/archive_set/5.37.3/ --storage-class STANDARD_IA --only-show-errors,benign,data_exfiltration
cat,cat /etc/shadow > /tmp/.443b9a430bd3ec79e68aa29c99187a39/sh.txt,malicious,credential_dumping
